tip-off,home_team,away_team,sportsbook,team,spread,odds,matchup,spread_score,spread_probability,win_score
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,BetMGM,Houston Rockets,-1.5,-105,Golden State Warriors @ Houston Rockets,1.5,0.5121951219512195,1.0060975609756098
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,BetRivers,Golden State Warriors,1.0,-108,Golden State Warriors @ Houston Rockets,-1.0,0.5192307692307693,-0.24038461538461536
2025-04-21 01:30:00+00:00,Houston Rockets,Golden State Warriors,BetRivers,Houston Rockets,-1.0,-113,Golden State Warriors @ Houston Rockets,1.0,0.5305164319248826,0.7652582159624413
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,FanDuel,Indiana Pacers,-6.0,-110,Milwaukee Bucks @ Indiana Pacers,6.0,0.5238095238095238,3.261904761904762
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,FanDuel,Milwaukee Bucks,6.0,-110,Milwaukee Bucks @ Indiana Pacers,-6.0,0.5238095238095238,-2.738095238095238
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,DraftKings,Indiana Pacers,-6.0,-110,Milwaukee Bucks @ Indiana Pacers,6.0,0.5238095238095238,3.261904761904762
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,DraftKings,Milwaukee Bucks,6.0,-110,Milwaukee Bucks @ Indiana Pacers,-6.0,0.5238095238095238,-2.738095238095238
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,Bovada,Indiana Pacers,-6.0,-110,Milwaukee Bucks @ Indiana Pacers,6.0,0.5238095238095238,3.261904761904762
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,Bovada,Milwaukee Bucks,6.0,-110,Milwaukee Bucks @ Indiana Pacers,-6.0,0.5238095238095238,-2.738095238095238
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,BetRivers,Indiana Pacers,-6.0,-110,Milwaukee Bucks @ Indiana Pacers,6.0,0.5238095238095238,3.261904761904762
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,BetRivers,Milwaukee Bucks,6.0,-110,Milwaukee Bucks @ Indiana Pacers,-6.0,0.5238095238095238,-2.738095238095238
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,LowVig.ag,Indiana Pacers,-6.0,-101,Milwaukee Bucks @ Indiana Pacers,6.0,0.5024875621890548,3.2512437810945274
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,LowVig.ag,Milwaukee Bucks,6.0,-111,Milwaukee Bucks @ Indiana Pacers,-6.0,0.5260663507109005,-2.7369668246445498
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,BetOnline.ag,Indiana Pacers,-6.0,-105,Milwaukee Bucks @ Indiana Pacers,6.0,0.5121951219512195,3.2560975609756095
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,BetOnline.ag,Milwaukee Bucks,6.0,-115,Milwaukee Bucks @ Indiana Pacers,-6.0,0.5348837209302325,-2.7325581395348837
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,BetMGM,Indiana Pacers,-5.5,-115,Milwaukee Bucks @ Indiana Pacers,5.5,0.5348837209302325,3.0174418604651163
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,BetMGM,Milwaukee Bucks,5.5,-105,Milwaukee Bucks @ Indiana Pacers,-5.5,0.5121951219512195,-2.4939024390243905
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,MyBookie.ag,Indiana Pacers,-6.5,-110,Milwaukee Bucks @ Indiana Pacers,6.5,0.5238095238095238,3.511904761904762
2025-04-22 23:00:00+00:00,Indiana Pacers,Milwaukee Bucks,MyBookie.ag,Milwaukee Bucks,6.5,-110,Milwaukee Bucks @ Indiana Pacers,-6.5,0.5238095238095238,-2.988095238095238
